Category,Item,Calories,Total Fat,Total Fat (% Daily Value),Saturated Fat,Saturated Fat (% Daily Value),Trans Fat,Cholesterol,Cholesterol (% Daily Value),Sodium,Sodium (% Daily Value),Carbohydrates,Carbohydrates (% Daily Value),Dietary Fiber,Dietary Fiber (% Daily Value),Sugars,Protein,Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value)
Coffee & Tea,Iced Mocha with Nonfat Milk (Medium),290,5.0,8,3.5,17,0.0,20,7,150,6,50,17,1,5,43,10,15,0,30,6
Coffee & Tea,Iced Mocha with Nonfat Milk (Large),390,6.0,9,3.5,18,0.0,25,8,220,9,71,24,2,8,62,14,20,0,45,8
Coffee & Tea,Iced Caramel Mocha (Small),280,11.0,17,7.0,33,0.0,35,12,140,6,38,13,0,0,33,8,10,0,25,2
Coffee & Tea,Iced Caramel Mocha (Medium),340,13.0,19,7.0,37,0.0,40,13,170,7,46,15,1,2,41,9,10,0,30,2
Coffee & Tea,Iced Caramel Mocha (Large),460,16.0,25,10.0,48,0.5,50,17,250,10,65,22,1,3,59,13,15,0,40,4
Coffee & Tea,Iced Nonfat Caramel Mocha (Small),230,5.0,8,3.0,16,0.0,20,7,140,6,38,13,0,0,33,8,10,0,25,2
Coffee & Tea,Iced Nonfat Caramel Mocha (Medium),270,5.0,8,3.0,16,0.0,20,7,170,7,47,16,1,2,41,10,15,0,30,2
Coffee & Tea,Iced Nonfat Caramel Mocha (Large),370,6.0,8,3.5,17,0.0,25,8,250,10,65,22,1,3,59,14,20,0,45,4
Coffee & Tea,Frappé Mocha (Small),450,18.0,28,12.0,59,1.0,65,21,125,5,65,22,1,3,57,7,15,0,20,4
Coffee & Tea,Frappé Mocha (Medium),550,22.0,34,14.0,71,1.0,75,25,160,7,80,27,1,4,71,9,15,0,25,4
Coffee & Tea,Frappé Mocha (Large),670,26.0,41,17.0,85,1.0,90,30,190,8,98,33,1,4,88,11,20,0,35,4
Coffee & Tea,Frappé Caramel (Small),450,19.0,29,12.0,60,1.0,65,22,125,5,64,21,0,0,57,7,15,0,25,2
Coffee & Tea,Frappé Caramel (Medium),550,23.0,35,15.0,73,1.0,80,27,160,7,79,26,0,0,71,9,20,0,30,2
Coffee & Tea,Frappé Caramel (Large),670,27.0,42,17.0,87,1.5,95,32,190,8,96,32,0,0,88,11,20,0,35,2
Coffee & Tea,Frappé Chocolate Chip (Small),530,23.0,35,14.0,72,1.0,65,22,135,6,76,25,1,5,67,8,15,0,25,4
Coffee & Tea,Frappé Chocolate Chip (Medium),630,26.0,41,17.0,85,1.0,80,26,160,7,91,30,1,5,81,9,15,0,30,4
Coffee & Tea,Frappé Chocolate Chip (Large),760,31.0,48,20.0,101,1.5,95,32,200,8,111,37,1,5,99,12,20,0,35,6
Smoothies & Shakes,Blueberry Pomegranate Smoothie (Small),220,0.5,1,0.0,0,0.0,5,1,40,2,50,17,3,12,44,2,0,2,6,2
Smoothies & Shakes,Blueberry Pomegranate Smoothie (Medium),260,1.0,1,0.0,0,0.0,5,1,50,2,62,21,4,15,54,3,0,4,8,2
Smoothies & Shakes,Blueberry Pomegranate Smoothie (Large),340,1.0,2,0.5,3,0.0,5,2,65,3,79,26,5,19,70,4,0,4,10,2
Smoothies & Shakes,Strawberry Banana Smoothie (Small),210,0.5,1,0.0,0,0.0,5,1,50,2,47,16,3,10,44,3,0,30,8,2
Smoothies & Shakes,Strawberry Banana Smoothie (Medium),250,1.0,1,0.0,0,0.0,5,1,60,2,58,19,3,13,54,4,0,35,8,4
Smoothies & Shakes,Strawberry Banana Smoothie (Large),330,1.0,2,0.5,3,0.0,5,2,80,3,74,25,4,16,70,5,0,45,10,4
Smoothies & Shakes,Mango Pineapple Smoothie (Small),210,0.5,1,0.0,0,0.0,5,1,40,2,50,17,1,4,46,2,30,20,8,2
Smoothies & Shakes,Mango Pineapple Smoothie (Medium),260,1.0,1,0.0,0,0.0,5,1,45,2,61,20,1,5,56,3,40,25,8,2
Smoothies & Shakes,Mango Pineapple Smoothie (Large),340,1.0,2,0.5,3,0.0,5,2,60,3,78,26,2,6,72,4,50,30,10,2
Smoothies & Shakes,Vanilla Shake (Small),530,15.0,24,10.0,49,1.0,60,20,160,7,86,29,0,0,63,11,20,0,40,0
Smoothies & Shakes,Vanilla Shake (Medium),660,19.0,29,12.0,61,1.0,75,24,200,9,109,36,0,0,81,14,25,0,50,0
Smoothies & Shakes,Vanilla Shake (Large),820,23.0,35,15.0,73,1.0,90,29,260,11,135,45,0,0,101,18,30,0,60,0
Smoothies & Shakes,Strawberry Shake (Small),550,16.0,25,10.0,52,1.0,60,21,160,7,90,30,0,0,79,12,20,0,40,0
Smoothies & Shakes,Strawberry Shake (Medium),690,20.0,30,13.0,63,1.0,75,25,210,9,114,38,0,0,100,15,25,0,50,0
Smoothies & Shakes,Strawberry Shake (Large),850,24.0,36,15.0,75,1.0,90,30,260,11,140,47,0,0,123,18,30,0,70,0
Smoothies & Shakes,Chocolate Shake (Small),560,16.0,25,10.0,51,1.0,60,20,240,10,91,30,1,5,77,12,20,0,40,8
Smoothies & Shakes,Chocolate Shake (Medium),700,20.0,30,12.0,62,1.0,75,24,300,13,114,38,2,6,97,15,25,0,50,10
Smoothies & Shakes,Chocolate Shake (Large),850,23.0,36,15.0,74,1.0,85,29,380,16,141,47,2,8,120,19,30,0,60,15
Smoothies & Shakes,Shamrock Shake (Medium),660,19.0,29,12.0,61,1.0,75,24,210,9,109,36,0,0,93,14,25,0,50,0
Smoothies & Shakes,Shamrock Shake (Large),820,23.0,35,15.0,73,1.0,90,29,260,11,135,45,0,0,115,18,30,0,60,0
Smoothies & Shakes,McFlurry with M&M’s Candies (Small),650,23.0,35,14.0,72,0.5,50,17,180,7,96,32,1,6,89,13,15,0,45,8
Smoothies & Shakes,McFlurry with M&M’s Candies (Medium),930,33.0,50,20.0,102,1.0,75,25,260,11,139,46,2,7,128,20,25,0,70,10
Smoothies & Shakes,McFlurry with M&M’s Candies (Snack),430,15.0,24,10.0,48,0.0,35,11,120,5,64,21,1,4,59,9,10,0,30,4
Smoothies & Shakes,McFlurry with Oreo Cookies (Small),510,17.0,26,9.0,44,0.5,45,14,280,12,80,27,1,4,64,12,15,0,40,8
Smoothies & Shakes,McFlurry with Oreo Cookies (Medium),690,23.0,35,12.0,58,1.0,55,19,380,16,106,35,1,5,85,15,20,0,50,10
Smoothies & Shakes,McFlurry with Oreo Cookies (Snack),340,11.0,17,6.0,29,0.0,30,9,190,8,53,18,1,2,43,8,10,0,25,6
Smoothies & Shakes,McFlurry with Reese's Peanut Butter Cups (Medium),810,32.0,50,15.0,76,1.0,60,20,400,17,114,38,2,9,103,21,20,0,60,6
Smoothies & Shakes,McFlurry with Reese's Peanut Butter Cups (Snack),410,16.0,25,8.0,38,0.0,30,10,200,8,57,19,1,5,51,10,10,0,30,4
